Список всех контактов по возрастанию количества их упоминания:

1. Христофор Викентиевич Щербин, тел.: +7 912 949 1343, МТС, контакт встречается 397 раз(а).
2. Сира Ираклиевна Арзубова, тел.: +7 900 317 2397, Билайн, контакт встречается 403 раз(а).
3. Клена Георгиевна Пекурова, тел.: +7 993 103 1269, Теле2, контакт встречается 419 раз(а).
4. Никифор Поликарпович Стрекалов, тел.: +7 992 120 0301, Теле2, контакт встречается 419 раз(а).
5. Октавия Венедиктовна Пудова, тел.: +7 993 212 1831, Теле2, контакт встречается 419 раз(а).
6. Амелия Сержовна Пашовкина, тел.: +7 936 324 0076, Мегафон, контакт встречается 420 раз(а).
7. Епистима Наумовна Брянцова, тел.: +7 996 092 2675, Теле2, контакт встречается 420 раз(а).
8. Сатира Афанасиевна Гальченко, тел.: +7 993 763 2022, Теле2, контакт встречается 421 раз(а).
9. Лора Мартыновна Слабнова, тел.: +7 939 824 1588, Мегафон, контакт встречается 421 раз(а).
10. Филомена Онисимовна Ворожищева, тел.: +7 902 063 0602, Мегафон, контакт встречается 423 раз(а).
11. Аглая Георгиевна Соломатникова, тел.: +7 908 285 0727, Теле2, контакт встречается 423 раз(а).
12. Давид Салаватович Зудин, тел.: +7 995 409 1889, Теле2, контакт встречается 423 раз(а).
13. Аполлинария Альфонсовна Косекеева, тел.: +7 906 818 2107, Билайн, контакт встречается 423 раз(а).
14. Егор Фомич Гузнищев, тел.: +7 936 570 2015, Мегафон, контакт встречается 423 раз(а).
15. Майя Амировна Выгодская, тел.: +7 902 360 2504, Билайн, контакт встречается 424 раз(а).
16. Айрат Наумович Коганов, тел.: +7 908 527 0257, Мегафон, контакт встречается 424 раз(а).
17. Виталина Ивановна Зернщикова, тел.: +7 911 119 1855, МТС, контакт встречается 424 раз(а).
18. Изида Мартыновна Гайдучкина, тел.: +7 977 807 2545, Теле2, контакт встречается 425 раз(а).
19. Аделла Игоревна Хвостова, тел.: +7 928 630 0138, Мегафон, контакт встречается 426 раз(а).
20. Борислав Константинович Елютин, тел.: +7 901 555 0527, Теле2, контакт встречается 426 раз(а).
21. Юлиания Викторовна Смелякова, тел.: +7 906 551 1906, Билайн, контакт встречается 426 раз(а).
22. Антон Венцеславович Гантемиров, тел.: +7 963 399 1681, Билайн, контакт встречается 427 раз(а).
23. Филарет Тихомирович Сидягин, тел.: +7 910 796 0980, МТС, контакт встречается 427 раз(а).
